# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.646000000000000E+09;-5.973275573624473E+00;-2.459691835524729E+01;1.706228771922401E+01;-1.952121623585744E+01;1.706228771922401E+01;-1.952121623585744E+01;-6.828571766964149E+00;1.779830737322805E+02;5.826787796125744E+01;4.902044261216175E+00;
2.647000000000000E+09;-5.998067642614605E+00;-2.484336955600095E+01;1.708530204673461E+01;-2.073182247534800E+01;1.708530204673461E+01;-2.073182247534800E+01;-6.848380777259494E+00;1.764380102240856E+02;5.800014074236816E+01;6.285368804233583E+00;
2.648000000000000E+09;-6.018438185899812E+00;-2.511880972085196E+01;1.710788441200350E+01;-2.196790085924832E+01;1.710788441200350E+01;-2.196790085924832E+01;-6.878606238949244E+00;1.748528579974419E+02;5.834532768376513E+01;5.296140643415120E+00;
2.649000000000000E+09;-6.042282031150807E+00;-2.536658805973817E+01;1.713313382831690E+01;-2.320194338730466E+01;1.713313382831690E+01;-2.320194338730466E+01;-6.906482201725435E+00;1.732781312214114E+02;5.805062934221652E+01;3.818182847216256E+00;
2.650000000000000E+09;-6.067489725092411E+00;-2.556591895454950E+01;1.715690001087100E+01;-2.444539281811620E+01;1.715690001087100E+01;-2.444539281811620E+01;-6.936896753784647E+00;1.716589105539794E+02;5.795530175084826E+01;4.536347147416815E+00;
2.651000000000000E+09;-6.086354311493082E+00;-2.584912465178300E+01;1.718297228287492E+01;-2.569748250418707E+01;1.718297228287492E+01;-2.569748250418707E+01;-6.974424004495200E+00;1.701116309712885E+02;5.816968140722526E+01;6.457315665289344E+00;
2.652000000000000E+09;-6.113927863594331E+00;-2.611198322623830E+01;1.720857673671569E+01;-2.693048980209490E+01;1.720857673671569E+01;-2.693048980209490E+01;-7.016266474152877E+00;1.685368780901365E+02;5.796677574541118E+01;4.900993875664439E+00;
2.653000000000000E+09;-6.137044674893940E+00;-2.633671113736986E+01;1.723552942842183E+01;-2.818558630362234E+01;1.723552942842183E+01;-2.818558630362234E+01;-7.030930909137018E+00;1.670516117059047E+02;5.801004406961546E+01;5.448408850315023E+00;
2.654000000000000E+09;-6.163068239659621E+00;-2.660963010906760E+01;1.725759979817689E+01;-2.943470921655809E+01;1.725759979817689E+01;-2.943470921655809E+01;-7.081728187848438E+00;1.654562450322846E+02;5.788779320853187E+01;4.081854202332849E+00;
2.655000000000000E+09;-6.188278505764617E+00;-2.679667638896909E+01;1.728911350675229E+01;-3.066288893373897E+01;1.728911350675229E+01;-3.066288893373897E+01;-7.118084268490719E+00;1.638471944806273E+02;5.823705942649006E+01;5.104994788072760E+00;
2.656000000000000E+09;-6.212109292649112E+00;-2.706294450238067E+01;1.731350794053742E+01;-3.195791488676470E+01;1.731350794053742E+01;-3.195791488676470E+01;-7.155961921279390E+00;1.622920794162401E+02;5.772419144309915E+01;5.610822130322293E+00;
2.657000000000000E+09;-6.239830769527799E+00;-2.731101618876611E+01;1.733985421979398E+01;-3.319307832204567E+01;1.733985421979398E+01;-3.319307832204567E+01;-7.199924769814245E+00;1.606958467611415E+02;5.795500611066817E+01;4.371936455649457E+00;
2.658000000000000E+09;-6.268339272462010E+00;-2.753180149470111E+01;1.737024544587079E+01;-3.445851745903246E+01;1.737024544587079E+01;-3.445851745903246E+01;-7.251569841285555E+00;1.592324443762394E+02;5.809886598366624E+01;6.475649863175029E+00;
2.659000000000000E+09;-6.295245908504051E+00;-2.780983395322941E+01;1.739452138223216E+01;-3.571552246906922E+01;1.739452138223216E+01;-3.571552246906922E+01;-7.299768035877806E+00;1.575899782687713E+02;5.808352544276286E+01;5.187042306322565E+00;
2.660000000000000E+09;-6.328164188954179E+00;-2.802384319350621E+01;1.742147551185621E+01;-3.696150647981434E+01;1.742147551185621E+01;-3.696150647981434E+01;-7.337585383940734E+00;1.560079951989543E+02;5.810147715118117E+01;4.572714816425814E+00;
2.661000000000000E+09;-6.349213333681405E+00;-2.832173733918339E+01;1.744620701868276E+01;-3.824980467340637E+01;1.744620701868276E+01;-3.824980467340637E+01;-7.386922211674807E+00;1.544806359785105E+02;5.791734126364932E+01;4.741355950815885E+00;
2.662000000000000E+09;-6.380416735356258E+00;-2.851783547920407E+01;1.747257023062226E+01;-3.950250096122258E+01;1.747257023062226E+01;-3.950250096122258E+01;-7.439535575328656E+00;1.529284377686854E+02;5.794095549871867E+01;5.103023706999832E+00;
2.663000000000000E+09;-6.407373785339058E+00;-2.868449183424493E+01;1.750271904522646E+01;-4.076750804836368E+01;1.750271904522646E+01;-4.076750804836368E+01;-7.496331410730264E+00;1.514024827174020E+02;5.795536077877777E+01;5.140262738714396E+00;
2.664000000000000E+09;-6.430001897534003E+00;-2.891333004062679E+01;1.753254396306154E+01;-4.204779707640093E+01;1.753254396306154E+01;-4.204779707640093E+01;-7.534578772549647E+00;1.498109422707727E+02;5.790446257444437E+01;4.959098138525524E+00;
2.665000000000000E+09;-6.462291453652325E+00;-2.918561197530148E+01;1.755859665673853E+01;-4.332379750056781E+01;1.755859665673853E+01;-4.332379750056781E+01;-7.604594606089442E+00;1.483058302114559E+02;5.794946853965718E+01;4.923435168510993E+00;
2.666000000000000E+09;-6.500969158034753E+00;-2.945304813825068E+01;1.758967642346887E+01;-4.460553611504475E+01;1.758967642346887E+01;-4.460553611504475E+01;-7.654485711758097E+00;1.467613264356399E+02;5.790900988108596E+01;3.494427392867411E+00;
2.667000000000000E+09;-6.524746849168409E+00;-2.959711112485122E+01;1.761908265807170E+01;-4.586160221200190E+01;1.761908265807170E+01;-4.586160221200190E+01;-7.708926707296975E+00;1.451587094691461E+02;5.791187863201050E+01;3.423363333398486E+00;
2.668000000000000E+09;-6.556453185390532E+00;-2.985656835455245E+01;1.764211982850627E+01;-4.717616277131212E+01;1.764211982850627E+01;-4.717616277131212E+01;-7.775997409873794E+00;1.436115347505714E+02;5.761316168780220E+01;6.325299425522148E+00;
2.669000000000000E+09;-6.585156007387188E+00;-3.001801910352928E+01;1.767199489469619E+01;-4.843848137702508E+01;1.767199489469619E+01;-4.843848137702508E+01;-7.839716500368934E+00;1.421158842129857E+02;5.800201859097073E+01;3.813849275107674E+00;
2.670000000000000E+09;-6.618434383151640E+00;-3.027299974960829E+01;1.770214421786409E+01;-4.971436045725297E+01;1.770214421786409E+01;-4.971436045725297E+01;-7.898775412748993E+00;1.404849349581112E+02;5.775318692689324E+01;5.991383054446369E+00;
2.671000000000000E+09;-6.650998101839734E+00;-3.051236398225652E+01;1.773081797759997E+01;-5.100011773842758E+01;1.773081797759997E+01;-5.100011773842758E+01;-7.968999434129453E+00;1.389501451310235E+02;5.781750833733831E+01;6.215448911108260E+00;
2.672000000000000E+09;-6.674502922761948E+00;-3.069673274449739E+01;1.775800527596704E+01;-5.231835794412907E+01;1.775800527596704E+01;-5.231835794412907E+01;-8.048117624342243E+00;1.375006976495610E+02;5.784325448235606E+01;5.390595260868299E+00;
2.673000000000000E+09;-6.708103928778827E+00;-3.091601646956551E+01;1.778860469375382E+01;-5.359415828448967E+01;1.778860469375382E+01;-5.359415828448967E+01;-8.112523781597075E+00;1.358569206256180E+02;5.796130784342413E+01;6.244116671508950E+00;
2.674000000000000E+09;-6.749425787110372E+00;-3.108602711722020E+01;1.781866354719780E+01;-5.489037218790758E+01;1.781866354719780E+01;-5.489037218790758E+01;-8.184271690032384E+00;1.343393743357049E+02;5.771977006712611E+01;5.116780698280438E+00;
2.675000000000000E+09;-6.777691328728453E+00;-3.135946198956470E+01;1.784190044044795E+01;-5.616652183868189E+01;1.784190044044795E+01;-5.616652183868189E+01;-8.256108978992788E+00;1.327341329408374E+02;5.776903373118494E+01;3.838954583520635E+00;
2.676000000000000E+09;-6.815457295312610E+00;-3.157251642537746E+01;1.787463311997331E+01;-5.745720863869664E+01;1.787463311997331E+01;-5.745720863869664E+01;-8.348272959347495E+00;1.312106041940013E+02;5.768220530840992E+01;4.404550732891151E+00;
2.677000000000000E+09;-6.857998769611458E+00;-3.175178064386630E+01;1.790095905631143E+01;-5.878481321400079E+01;1.790095905631143E+01;-5.878481321400079E+01;-8.417233752430326E+00;1.296738477512980E+02;5.796577398231858E+01;4.468388898057590E+00;
2.678000000000000E+09;-6.879129052494989E+00;-3.199726016707990E+01;1.793096652446165E+01;-6.009795503610754E+01;1.793096652446165E+01;-6.009795503610754E+01;-8.492861973769667E+00;1.280782295961080E+02;5.779657240996648E+01;6.212149279692452E+00;
2.679000000000000E+09;-6.918510218122514E+00;-3.212781827562866E+01;1.796186384940187E+01;-6.141434150008926E+01;1.796186384940187E+01;-6.141434150008926E+01;-8.577637708905945E+00;1.265540381652924E+02;5.787243072688856E+01;4.286942677756856E+00;
2.680000000000000E+09;-6.956351138161111E+00;-3.242802128862141E+01;1.798842954785613E+01;-6.269633682567252E+01;1.798842954785613E+01;-6.269633682567252E+01;-8.667728719113517E+00;1.250181926683599E+02;5.784880428815874E+01;3.507102326538232E+00;
2.681000000000000E+09;-6.994438836700551E+00;-3.257882649255916E+01;1.801629898674825E+01;-6.404569771678561E+01;1.801629898674825E+01;-6.404569771678561E+01;-8.761196783273865E+00;1.234619288533457E+02;5.792279536615200E+01;5.327572000768418E+00;
2.682000000000000E+09;-7.028001275259620E+00;-3.269604782574518E+01;1.804873518755462E+01;-6.536498094548864E+01;1.804873518755462E+01;-6.536498094548864E+01;-8.840807537041725E+00;1.218410729945220E+02;5.779705596407150E+01;6.397313352264137E+00;
2.683000000000000E+09;-7.064458439505135E+00;-3.294990570204580E+01;1.807407660077558E+01;-6.668490748664644E+01;1.807407660077558E+01;-6.668490748664644E+01;-8.936430621664552E+00;1.203500760455747E+02;5.769817264819486E+01;4.944931350974368E+00;
2.684000000000000E+09;-7.107248584721271E+00;-3.311865133244500E+01;1.810344569583513E+01;-6.800568755579140E+01;1.810344569583513E+01;-6.800568755579140E+01;-9.019491934898305E+00;1.188614116984127E+02;5.768038903371015E+01;5.244114670414047E+00;
2.685000000000000E+09;-7.140437568899451E+00;-3.327460517442648E+01;1.813614203210397E+01;-6.935055574156999E+01;1.813614203210397E+01;-6.935055574156999E+01;-9.125335469430482E+00;1.172759087139833E+02;5.769059577099444E+01;5.416348364399433E+00;
2.686000000000000E+09;-7.178805716440232E+00;-3.344424454676703E+01;1.816686617911548E+01;-7.068348494885100E+01;1.816686617911548E+01;-7.068348494885100E+01;-9.229544330284666E+00;1.157000729772670E+02;5.781517568632260E+01;4.710125038231343E+00;
2.687000000000000E+09;-7.222993083600225E+00;-3.360523752594854E+01;1.819338256379279E+01;-7.202326308250311E+01;1.819338256379279E+01;-7.202326308250311E+01;-9.324394927514687E+00;1.141301232669151E+02;5.762866532516169E+01;4.633490406070245E+00;
