# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;db:Mem6[Trc3]_S21;ang:Mem6[Trc3]_S21;
2.625000000000000E+09;-5.066872175241127E+00;-1.849385639902916E+01;1.614071097692961E+01;4.228694381342773E+00;1.614071097692961E+01;4.228694381342773E+00;-6.171444098758426E+00;-1.509907358139411E+02;5.821253308491895E+01;6.203828628975349E+00;1.663537575684013E+01;6.234440487640642E+00;
2.626000000000000E+09;-5.078350284057081E+00;-1.873618101734937E+01;1.616551669889487E+01;2.994871240855085E+00;1.616551669889487E+01;2.994871240855085E+00;-6.188727617475504E+00;-1.527182594830531E+02;5.833397811482696E+01;3.890220828743641E+00;1.665523190918621E+01;5.002407203201430E+00;
2.627000000000000E+09;-5.096827887020446E+00;-1.890039558854718E+01;1.618479583394050E+01;1.789649795224208E+00;1.618479583394050E+01;1.789649795224208E+00;-6.194541048575922E+00;-1.545288207108482E+02;5.817769251202016E+01;4.709187061456058E+00;1.666972865187829E+01;3.778271972326786E+00;
2.628000000000000E+09;-5.108943025042588E+00;-1.913006145143891E+01;1.620698932591886E+01;5.469962531719049E-01;1.620698932591886E+01;5.469962531719049E-01;-6.198290535385058E+00;-1.562126426997216E+02;5.834870293980530E+01;6.054583152385815E+00;1.668855602207336E+01;2.545996061337397E+00;
2.629000000000000E+09;-5.124835315235656E+00;-1.938992889833267E+01;1.622993739684011E+01;-6.821163760244342E-01;1.622993739684011E+01;-6.821163760244342E-01;-6.211911343170028E+00;-1.579348230801019E+02;5.802162729372444E+01;6.124589800584274E+00;1.670846090040752E+01;1.324906787762233E+00;
2.630000000000000E+09;-5.146739160309788E+00;-1.956636782848370E+01;1.624912402475040E+01;-1.881669288738544E+00;1.624912402475040E+01;-1.881669288738544E+00;-6.227758758003548E+00;-1.596793932496222E+02;5.818550102540765E+01;4.350968177921003E+00;1.672420858016504E+01;1.261087427301517E-01;
2.631000000000000E+09;-5.161299844402584E+00;-1.980428861441910E+01;1.627087594431828E+01;-3.065873819992909E+00;1.627087594431828E+01;-3.065873819992909E+00;-6.235662990465083E+00;-1.614147617599541E+02;5.816837521346063E+01;2.954135612153237E+00;1.674439243661728E+01;-1.080707497925522E+00;
2.632000000000000E+09;-5.170551388793388E+00;-2.006150789525716E+01;1.629448429736621E+01;-4.325204718732222E+00;1.629448429736621E+01;-4.325204718732222E+00;-6.250041548441131E+00;-1.630998799322573E+02;5.825543837061537E+01;5.825591583111152E+00;1.676172580197984E+01;-2.333828087277763E+00;
2.633000000000000E+09;-5.188070357350113E+00;-2.029015032303351E+01;1.631935867017150E+01;-5.514748784529459E+00;1.631935867017150E+01;-5.514748784529459E+00;-6.265629434531382E+00;-1.647900217532406E+02;5.810208205655582E+01;5.128604592214627E+00;1.678430965946146E+01;-3.525722151089979E+00;
2.634000000000000E+09;-5.206758985064177E+00;-2.048731528647571E+01;1.634196736548036E+01;-6.762492910898947E+00;1.634196736548036E+01;-6.762492910898947E+00;-6.278983408906404E+00;-1.665394509842815E+02;5.816707659862345E+01;6.207722181347044E+00;1.680170363286601E+01;-4.780966331253493E+00;
2.635000000000000E+09;-5.230106657156882E+00;-2.074117749521684E+01;1.636146522413854E+01;-7.958336812120643E+00;1.636146522413854E+01;-7.958336812120643E+00;-6.304901940061086E+00;-1.682296507768311E+02;5.802783036529759E+01;4.244358740425614E+00;1.681996811677216E+01;-5.990707202442992E+00;
2.636000000000000E+09;-5.244207411477552E+00;-2.090767137130303E+01;1.638299341805530E+01;-9.213137697737951E+00;1.638299341805530E+01;-9.213137697737951E+00;-6.316587423247566E+00;-1.699102686035885E+02;5.807564500819788E+01;3.639531825961280E+00;1.683896243108726E+01;-7.235338580404309E+00;
2.637000000000000E+09;-5.264752286722919E+00;-2.115084508650481E+01;1.640518337865943E+01;-1.040091107727757E+01;1.640518337865943E+01;-1.040091107727757E+01;-6.332365548248355E+00;-1.716279342892211E+02;5.832557671986812E+01;4.778951078158771E+00;1.685924190951524E+01;-8.431301804146406E+00;
2.638000000000000E+09;-5.280531111833784E+00;-2.136071521572087E+01;1.643284905753690E+01;-1.162494732408405E+01;1.643284905753690E+01;-1.162494732408405E+01;-6.348287877161805E+00;-1.733056623073377E+02;5.809602853496310E+01;5.097972413201242E+00;1.687904678409814E+01;-9.654994489099492E+00;
2.639000000000000E+09;-5.294371536805028E+00;-2.159068440544313E+01;1.645755521798627E+01;-1.287227828685851E+01;1.645755521798627E+01;-1.287227828685851E+01;-6.377663518653098E+00;-1.749806498652764E+02;5.807624011871382E+01;4.581380359371066E+00;1.690288058258604E+01;-1.089472617996384E+01;
2.640000000000000E+09;-5.315496440117049E+00;-2.181506431671554E+01;1.648285690392415E+01;-1.406982901110462E+01;1.648285690392415E+01;-1.406982901110462E+01;-6.391481801947645E+00;-1.767354973438640E+02;5.795713534017342E+01;5.363647116461128E+00;1.692563162971187E+01;-1.210412226582270E+01;
2.641000000000000E+09;-5.335474300605043E+00;-2.206260403446584E+01;1.650863658566252E+01;-1.529739736336960E+01;1.650863658566252E+01;-1.529739736336960E+01;-6.415337736296232E+00;-1.783294290024953E+02;5.820988313878594E+01;4.900690046592675E+00;1.694897905958975E+01;-1.334045546961886E+01;
2.642000000000000E+09;-5.352719990121281E+00;-2.229028243363782E+01;1.653235875524455E+01;-1.653676661490462E+01;1.653235875524455E+01;-1.653676661490462E+01;-6.434636981882532E+00;1.799554172004927E+02;5.811632636302949E+01;4.157474013888922E+00;1.697050140961021E+01;-1.456542619071724E+01;
2.643000000000000E+09;-5.371476064971342E+00;-2.249203916425797E+01;1.656315987592044E+01;-1.775588543839351E+01;1.656315987592044E+01;-1.775588543839351E+01;-6.459715119233883E+00;1.783257223412877E+02;5.800132605419322E+01;5.868437964548645E+00;1.699696701445244E+01;-1.579696208440204E+01;
2.644000000000000E+09;-5.397334288419283E+00;-2.271991018024747E+01;1.658230200464675E+01;-1.896690950776329E+01;1.658230200464675E+01;-1.896690950776329E+01;-6.479832226717017E+00;1.767331782114871E+02;5.786451036651129E+01;3.702039381056239E+00;1.701484492901044E+01;-1.701070868296607E+01;
2.645000000000000E+09;-5.405833091801937E+00;-2.293025134094258E+01;1.661288737076244E+01;-2.021829664107780E+01;1.661288737076244E+01;-2.021829664107780E+01;-6.505716676014415E+00;1.750097221652424E+02;5.813748460399562E+01;7.036656875161757E+00;1.703983598604921E+01;-1.827506348734387E+01;
2.646000000000000E+09;-5.428585660146032E+00;-2.317421514450617E+01;1.663893006737946E+01;-2.146755822973250E+01;1.663893006737946E+01;-2.146755822973250E+01;-6.545675934806141E+00;1.733466208024895E+02;5.826787796125744E+01;4.902044261216175E+00;1.706376461085052E+01;-1.952238875286827E+01;
2.647000000000000E+09;-5.451862722266977E+00;-2.338579756951315E+01;1.666493642108667E+01;-2.266899111480358E+01;1.666493642108667E+01;-2.266899111480358E+01;-6.572713091535802E+00;1.717021889621431E+02;5.800014074236816E+01;6.285368804233583E+00;1.708797452555367E+01;-2.073006091823101E+01;
