# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.072500000000000E+09;-7.255239103168644E-01;-4.296950823898544E-01;-6.763328887857498E-01;-5.083404541366997E-01;-7.654504675115748E-05;-1.238108866935290E-03;
2.073750000000000E+09;-7.490092736551247E-01;-3.878370610339061E-01;-7.048447924967653E-01;-4.688017731776905E-01;-1.566952505466992E-04;-1.255284896165563E-03;
2.075000000000000E+09;-7.700766242173416E-01;-3.448436317253586E-01;-7.304218945446657E-01;-4.275163945196174E-01;-2.106677288423175E-04;-1.274494643787337E-03;
2.076250000000000E+09;-7.886726407146500E-01;-3.006666563759874E-01;-7.544438323461573E-01;-3.848438783883917E-01;-2.812954581790274E-04;-1.262181806822845E-03;
2.077500000000000E+09;-8.045559455675083E-01;-2.557774445009343E-01;-7.752026057040814E-01;-3.411158481038192E-01;-3.825484487000947E-04;-1.247549805853432E-03;
2.078750000000000E+09;-8.182018852556205E-01;-2.099500820434043E-01;-7.936932081474780E-01;-2.961926761011769E-01;-4.747037610173673E-04;-1.241628292877888E-03;
2.080000000000000E+09;-8.289042615456520E-01;-1.636453646688747E-01;-8.093349191591601E-01;-2.506092283892162E-01;-5.236377988985943E-04;-1.219697773295070E-03;
2.081250000000000E+09;-8.371650873549871E-01;-1.167005593117428E-01;-8.228360448968211E-01;-2.039974978863455E-01;-5.935927742299807E-04;-1.165515637496968E-03;
2.082500000000000E+09;-8.425928286699131E-01;-7.002144625444197E-02;-8.331102000789296E-01;-1.567785841590173E-01;-6.762950976388902E-04;-1.165492499702804E-03;
2.083750000000000E+09;-8.455366849068640E-01;-2.291797739898789E-02;-8.410318522286988E-01;-1.093107580889030E-01;-6.879697344037048E-04;-1.121705656336456E-03;
2.085000000000000E+09;-8.458836161718369E-01;2.391744848122922E-02;-8.460907699649557E-01;-6.146470865894436E-02;-7.480458192036281E-04;-1.078533370298680E-03;
2.086250000000000E+09;-8.435604763411444E-01;7.136611161923750E-02;-8.485571474800476E-01;-1.358612924485971E-02;-8.092191160259422E-04;-1.058263970435821E-03;
2.087500000000000E+09;-8.386539887487587E-01;1.177328115537039E-01;-8.483086473540139E-01;3.407900984102309E-02;-8.597411167168114E-04;-1.034922115769736E-03;
2.088750000000000E+09;-8.314043254955488E-01;1.642661472901535E-01;-8.454005322483483E-01;8.198877710658026E-02;-9.115256753437885E-04;-1.011865919277954E-03;
2.090000000000000E+09;-8.211519601634401E-01;2.101163714223469E-01;-8.397055492824934E-01;1.291190092870953E-01;-9.567353600293626E-04;-1.007340162371089E-03;
2.091250000000000E+09;-8.088442141343130E-01;2.551824051544008E-01;-8.314867090041235E-01;1.758484974920945E-01;-1.073918727111107E-03;-9.721335633595212E-04;
2.092500000000000E+09;-7.938076412833035E-01;2.995314310721621E-01;-8.205961241897840E-01;2.219548207064548E-01;-1.142898149337388E-03;-9.188726045819078E-04;
2.093750000000000E+09;-7.764874962976568E-01;3.430064637648664E-01;-8.072933786198064E-01;2.673652292225576E-01;-1.256979299204695E-03;-8.913353068168681E-04;
2.095000000000000E+09;-7.567074543203364E-01;3.851981491317421E-01;-7.915200854877606E-01;3.117947420712853E-01;-1.308997277612770E-03;-8.232180634068024E-04;
2.096250000000000E+09;-7.348683495458090E-01;4.261681917591755E-01;-7.734118214686952E-01;3.551909806962019E-01;-1.432466207344286E-03;-7.091698240368605E-04;
2.097500000000000E+09;-7.106752659693946E-01;4.660465274368823E-01;-7.530713434192736E-01;3.973413676691184E-01;-1.455322381730712E-03;-6.169201419195984E-04;
2.098750000000000E+09;-6.845148964106561E-01;5.045188748760621E-01;-7.302385512005680E-01;4.383488077341648E-01;-1.531137875558015E-03;-5.243249000047155E-04;
2.100000000000000E+09;-6.561419491737148E-01;5.413408777197115E-01;-7.055229623318308E-01;4.780835560002813E-01;-1.537893230222113E-03;-3.742994619102161E-04;
2.101250000000000E+09;-6.258102196620274E-01;5.762843390119259E-01;-6.785675555035592E-01;5.162883088599657E-01;-1.588406869330036E-03;-2.533925996862813E-04;
2.102500000000000E+09;-5.941744829323642E-01;6.098286220369378E-01;-6.495496730051324E-01;5.530831174623967E-01;-1.599147291711923E-03;-1.412517863484384E-04;
2.103750000000000E+09;-5.606261451959755E-01;6.414483442984942E-01;-6.187436219652088E-01;5.879593353231760E-01;-1.549613278276804E-03;-1.929773520301144E-05;
2.105000000000000E+09;-5.252482480470427E-01;6.710576607980253E-01;-5.860538624288271E-01;6.210424589079913E-01;-1.539118633535743E-03;9.048354199224158E-05;
2.106250000000000E+09;-4.886670024149105E-01;6.987047483795592E-01;-5.516915084590545E-01;6.523879906237764E-01;-1.512755243709605E-03;1.411874830789311E-04;
2.107500000000000E+09;-4.505252149819463E-01;7.243044247896928E-01;-5.157841099526675E-01;6.816065846658633E-01;-1.487091618660385E-03;2.319024726575575E-04;
2.108750000000000E+09;-4.110183945784966E-01;7.477909268380719E-01;-4.783271929789779E-01;7.090257238322276E-01;-1.435357816738168E-03;3.131782510096889E-04;
2.110000000000000E+09;-3.705246979677752E-01;7.691010884442843E-01;-4.393978230445449E-01;7.340913031596961E-01;-1.402818495756921E-03;3.543295960481974E-04;
2.111250000000000E+09;-3.288652863102596E-01;7.880397854890127E-01;-3.994410860748006E-01;7.568817549690506E-01;-1.324018104630667E-03;4.245512600694334E-04;
2.112500000000000E+09;-2.863321977365058E-01;8.049746810240317E-01;-3.584723590327809E-01;7.775800287891138E-01;-1.312637058002251E-03;5.004341679700712E-04;
2.113750000000000E+09;-2.431333677979096E-01;8.193512740335877E-01;-3.161839378973872E-01;7.961071382721175E-01;-1.288185993660180E-03;4.587160441120918E-04;
