# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.057500000000000E+09;-8.077091252202726E-01;-2.537207159584126E+01;-1.522876170224261E+00;-9.908468002454195E+01;-5.826809850489631E+01;-1.714260860124080E+02;
2.058750000000000E+09;-8.082803845813480E-01;-2.773262354656191E+01;-1.524162449546405E+00;-1.024524453128845E+02;-5.778173777165889E+01;-1.728397996686467E+02;
2.060000000000000E+09;-8.114522246106988E-01;-3.008812928408918E+01;-1.525830724152038E+00;-1.058159802922366E+02;-5.788060398691471E+01;-1.764042142098912E+02;
2.061250000000000E+09;-8.104079843758285E-01;-3.242465567432539E+01;-1.526292122329923E+00;-1.091809949150035E+02;-5.809117270434123E+01;-1.793710119683616E+02;
2.062500000000000E+09;-8.119826237750426E-01;-3.476560383713330E+01;-1.522832401649857E+00;-1.125193840195688E+02;-5.797069158385402E+01;1.798132305766252E+02;
2.063750000000000E+09;-8.123117950439679E-01;-3.712636949596368E+01;-1.521158622106592E+00;-1.158965019209517E+02;-5.780243499222329E+01;1.766685590117780E+02;
2.065000000000000E+09;-8.162333987621651E-01;-3.948454653480821E+01;-1.522143503757313E+00;-1.192442048793444E+02;-5.782928814797059E+01;1.737632063280745E+02;
2.066250000000000E+09;-8.160656350555806E-01;-4.186782198887178E+01;-1.520874198396431E+00;-1.225970252034295E+02;-5.766987173608158E+01;1.712547277718271E+02;
2.067500000000000E+09;-8.177049127271512E-01;-4.421721168753210E+01;-1.518382925362806E+00;-1.259526245550247E+02;-5.767941025874504E+01;1.675084846728469E+02;
2.068750000000000E+09;-8.173657539882816E-01;-4.657590189928627E+01;-1.516338868444079E+00;-1.292851437309387E+02;-5.768282830606429E+01;1.658330093243185E+02;
2.070000000000000E+09;-8.177803046705224E-01;-4.897001401491001E+01;-1.516201146313604E+00;-1.326281920055611E+02;-5.769292974496311E+01;1.620084235143769E+02;
2.071250000000000E+09;-8.207971793505281E-01;-5.132907042989696E+01;-1.512842411926922E+00;-1.359715843467779E+02;-5.757470865974231E+01;1.595549115033083E+02;
2.072500000000000E+09;-8.224393576510768E-01;-5.371579046432395E+01;-1.514406764003146E+00;-1.392883566967025E+02;-5.763773846216408E+01;1.581338823255348E+02;
2.073750000000000E+09;-8.212171269152997E-01;-5.607723088355141E+01;-1.510558504623226E+00;-1.426164738301942E+02;-5.764687033245784E+01;1.543288936998221E+02;
2.075000000000000E+09;-8.227645789955611E-01;-5.846626296847401E+01;-1.509606366283361E+00;-1.459213777781980E+02;-5.739175176365343E+01;1.526088626224117E+02;
