# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.645000000000000E+09;-2.491147561948997E+01;-1.476472494288055E+02;-1.011988836678110E+00;-1.115051927173236E+02;-1.011988836678110E+00;-1.115051927173236E+02;-2.471182818796771E+01;1.250827757604686E+02;5.813748460399562E+01;7.036656875161757E+00;
2.646000000000000E+09;-2.499515239086010E+01;-1.482999699205620E+02;-1.014476047727475E+00;-1.120923386843932E+02;-1.014476047727475E+00;-1.120923386843932E+02;-2.481454156381578E+01;1.246689441723322E+02;5.826787796125744E+01;4.902044261216175E+00;
2.647000000000000E+09;-2.510307713654750E+01;-1.488724213868459E+02;-1.015403117128939E+00;-1.126693403544532E+02;-1.015403117128939E+00;-1.126693403544532E+02;-2.485298880133015E+01;1.242084983959115E+02;5.800014074236816E+01;6.285368804233583E+00;
2.648000000000000E+09;-2.513507657358518E+01;-1.494262706367849E+02;-1.012608569989851E+00;-1.132657221328401E+02;-1.012608569989851E+00;-1.132657221328401E+02;-2.487038474535046E+01;1.238336478539624E+02;5.834532768376513E+01;5.296140643415120E+00;
2.649000000000000E+09;-2.524652858303885E+01;-1.502771455601655E+02;-1.013057077007397E+00;-1.138467168009235E+02;-1.013057077007397E+00;-1.138467168009235E+02;-2.491047261334832E+01;1.231006024564738E+02;5.805062934221652E+01;3.818182847216256E+00;
2.650000000000000E+09;-2.530917896694540E+01;-1.505438782282949E+02;-1.014284610827652E+00;-1.144268191507948E+02;-1.014284610827652E+00;-1.144268191507948E+02;-2.497624099257057E+01;1.227800942730859E+02;5.795530175084826E+01;4.536347147416815E+00;
2.651000000000000E+09;-2.546855353665333E+01;-1.508445647191004E+02;-1.013804878126213E+00;-1.150198471015637E+02;-1.013804878126213E+00;-1.150198471015637E+02;-2.499102323073924E+01;1.225795394707601E+02;5.816968140722526E+01;6.457315665289344E+00;
2.652000000000000E+09;-2.547435782123807E+01;-1.517570595058147E+02;-1.011552784517142E+00;-1.155756240625077E+02;-1.011552784517142E+00;-1.155756240625077E+02;-2.509716538143449E+01;1.220764615876969E+02;5.796677574541118E+01;4.900993875664439E+00;
2.653000000000000E+09;-2.555151702507535E+01;-1.522138423923264E+02;-1.012532978217058E+00;-1.161777468777283E+02;-1.012532978217058E+00;-1.161777468777283E+02;-2.510654022438110E+01;1.213139450620395E+02;5.801004406961546E+01;5.448408850315023E+00;
2.654000000000000E+09;-2.569760395518759E+01;-1.528627051801923E+02;-1.011758469777934E+00;-1.167894697854669E+02;-1.011758469777934E+00;-1.167894697854669E+02;-2.508998084222821E+01;1.214454595884954E+02;5.788779320853187E+01;4.081854202332849E+00;
2.655000000000000E+09;-2.575693317806727E+01;-1.536463037994328E+02;-1.009961218548722E+00;-1.173404480239983E+02;-1.009961218548722E+00;-1.173404480239983E+02;-2.512912800960819E+01;1.205787701118658E+02;5.823705942649006E+01;5.104994788072760E+00;
2.656000000000000E+09;-2.588329177843379E+01;-1.536721702046947E+02;-1.014007486921331E+00;-1.179695171727653E+02;-1.014007486921331E+00;-1.179695171727653E+02;-2.521036697248205E+01;1.204316320440352E+02;5.772419144309915E+01;5.610822130322293E+00;
2.657000000000000E+09;-2.596628039097001E+01;-1.539596517345461E+02;-1.011663271541120E+00;-1.185549338153995E+02;-1.011663271541120E+00;-1.185549338153995E+02;-2.527623087491037E+01;1.195320124621267E+02;5.795500611066817E+01;4.371936455649457E+00;
2.658000000000000E+09;-2.611126669903939E+01;-1.547989619571287E+02;-1.010780978853560E+00;-1.191455648155305E+02;-1.010780978853560E+00;-1.191455648155305E+02;-2.532633108987103E+01;1.194051379906887E+02;5.809886598366624E+01;6.475649863175029E+00;
2.659000000000000E+09;-2.611672371518448E+01;-1.552686252454731E+02;-1.012963815938607E+00;-1.197313126249138E+02;-1.012963815938607E+00;-1.197313126249138E+02;-2.533690997133355E+01;1.186712373177494E+02;5.808352544276286E+01;5.187042306322565E+00;
2.660000000000000E+09;-2.625488910318207E+01;-1.560062869724138E+02;-1.013612025892905E+00;-1.202844174668591E+02;-1.013612025892905E+00;-1.202844174668591E+02;-2.537831839572902E+01;1.183394173998130E+02;5.810147715118117E+01;4.572714816425814E+00;
2.661000000000000E+09;-2.635996629934958E+01;-1.564527930160026E+02;-1.009408642493852E+00;-1.208930120043836E+02;-1.009408642493852E+00;-1.208930120043836E+02;-2.546992987782598E+01;1.181632894397193E+02;5.791734126364932E+01;4.741355950815885E+00;
2.662000000000000E+09;-2.648280402629065E+01;-1.570117157395839E+02;-1.008242119293604E+00;-1.214538367737522E+02;-1.008242119293604E+00;-1.214538367737522E+02;-2.553106145448684E+01;1.174158437580890E+02;5.794095549871867E+01;5.103023706999832E+00;
2.663000000000000E+09;-2.655200836329880E+01;-1.573308668960652E+02;-1.011337865808446E+00;-1.220552327794525E+02;-1.011337865808446E+00;-1.220552327794525E+02;-2.559298012084098E+01;1.172560980337218E+02;5.795536077877777E+01;5.140262738714396E+00;
2.664000000000000E+09;-2.670332238587781E+01;-1.576874950964046E+02;-1.012971184356590E+00;-1.226272141476874E+02;-1.012971184356590E+00;-1.226272141476874E+02;-2.570049269695980E+01;1.166843717059955E+02;5.790446257444437E+01;4.959098138525524E+00;
2.665000000000000E+09;-2.677069931828520E+01;-1.583590167355942E+02;-1.012249767562450E+00;-1.232084337687913E+02;-1.012249767562450E+00;-1.232084337687913E+02;-2.573011696519275E+01;1.162948857424480E+02;5.794946853965718E+01;4.923435168510993E+00;
2.666000000000000E+09;-2.696073527292798E+01;-1.590950013687836E+02;-1.009903228450784E+00;-1.238380814568307E+02;-1.009903228450784E+00;-1.238380814568307E+02;-2.576231459734563E+01;1.155249096533475E+02;5.790900988108596E+01;3.494427392867411E+00;
2.667000000000000E+09;-2.702188004636940E+01;-1.596692307230988E+02;-1.008802031884083E+00;-1.243845328496593E+02;-1.008802031884083E+00;-1.243845328496593E+02;-2.580997658788839E+01;1.153163484703965E+02;5.791187863201050E+01;3.423363333398486E+00;
2.668000000000000E+09;-2.718244585633565E+01;-1.601557541341577E+02;-1.011093160573895E+00;-1.250012942783639E+02;-1.011093160573895E+00;-1.250012942783639E+02;-2.586573761227114E+01;1.149918808600088E+02;5.761316168780220E+01;6.325299425522148E+00;
2.669000000000000E+09;-2.731983403362013E+01;-1.607476903623545E+02;-1.014137777414927E+00;-1.255635626744294E+02;-1.014137777414927E+00;-1.255635626744294E+02;-2.593480102075906E+01;1.144562256474214E+02;5.800201859097073E+01;3.813849275107674E+00;
2.670000000000000E+09;-2.741100876614320E+01;-1.611179300467943E+02;-1.010276023330823E+00;-1.261675708289330E+02;-1.010276023330823E+00;-1.261675708289330E+02;-2.600270252036912E+01;1.140056024551267E+02;5.775318692689324E+01;5.991383054446369E+00;
2.671000000000000E+09;-2.756656631745102E+01;-1.614704585091179E+02;-1.012229697435048E+00;-1.267413261650779E+02;-1.012229697435048E+00;-1.267413261650779E+02;-2.613223388257038E+01;1.134644439229541E+02;5.781750833733831E+01;6.215448911108260E+00;
2.672000000000000E+09;-2.770177847389953E+01;-1.621452935157961E+02;-1.012511833338959E+00;-1.273402241680100E+02;-1.012511833338959E+00;-1.273402241680100E+02;-2.617544735208995E+01;1.128589790467723E+02;5.784325448235606E+01;5.390595260868299E+00;
